lambda	n2-gold(J&C)	k2-gold(J&C)	n1-Si	k1-Si
650	0.156	3.6	1.45657907	0
651	0.154	3.61	1.456551163	0
652	0.152	3.62	1.456523256	0
653	0.151	3.631	1.456495349	0
654	0.149	3.641	1.456467442	0
655	0.147	3.651	1.456439535	0
656	0.146	3.661	1.456411628	0
657	0.144	3.671	1.456383721	0
658	0.143	3.68	1.456355814	0
659	0.141	3.69	1.456327907	0
660	0.14	3.7	1.4563	0
661	0.14	3.709	1.456275556	0
662	0.139	3.718	1.456251111	0
663	0.139	3.728	1.456226667	0
664	0.138	3.737	1.456202222	0
665	0.138	3.746	1.456177778	0
666	0.138	3.755	1.456153333	0
667	0.138	3.764	1.456128889	0
668	0.138	3.772	1.456104444	0
669	0.138	3.781	1.45608	0
670	0.138	3.79	1.456055556	0
671	0.138	3.799	1.456031111	0
672	0.137	3.808	1.456006667	0
673	0.137	3.817	1.455982222	0
674	0.137	3.826	1.455957778	0
675	0.137	3.835	1.455933333	0
676	0.136	3.844	1.455908889	0
677	0.136	3.853	1.455884444	0
678	0.136	3.862	1.45586	0
679	0.135	3.871	1.455835556	0
680	0.135	3.88	1.455811111	0
681	0.135	3.889	1.455786667	0
682	0.135	3.898	1.455762222	0
683	0.134	3.907	1.455737778	0
684	0.134	3.916	1.455713333	0
685	0.134	3.925	1.455688889	0
686	0.134	3.934	1.455664444	0
687	0.134	3.943	1.45564	0
688	0.133	3.952	1.455615556	0
689	0.133	3.961	1.455591111	0
690	0.133	3.97	1.455566667	0
691	0.133	3.979	1.455542222	0
692	0.133	3.988	1.455517778	0
693	0.132	3.997	1.455493333	0
694	0.132	4.006	1.455468889	0
695	0.132	4.015	1.455444444	0
696	0.132	4.024	1.45542	0
697	0.132	4.033	1.455395556	0
698	0.131	4.042	1.455371111	0
699	0.131	4.051	1.455346667	0
700	0.131	4.06	1.455322222	0
701	0.131	4.069	1.455297778	0
702	0.131	4.078	1.455273333	0
703	0.131	4.087	1.455248889	0
704	0.131	4.096	1.455224444	0
705	0.131	4.105	1.4552	0
706	0.131	4.114	1.455178431	0
707	0.131	4.123	1.455156863	0
708	0.131	4.132	1.455135294	0
709	0.131	4.141	1.455113725	0
710	0.131	4.15	1.455092157	0
711	0.131	4.159	1.455070588	0
712	0.131	4.168	1.45504902	0
713	0.132	4.178	1.455027451	0
714	0.132	4.187	1.455005882	0
715	0.132	4.196	1.454984314	0
716	0.132	4.205	1.454962745	0
717	0.132	4.214	1.454941176	0
718	0.133	4.222	1.454919608	0
719	0.133	4.231	1.454898039	0
720	0.133	4.24	1.454876471	0
721	0.133	4.248	1.454854902	0
722	0.133	4.256	1.454833333	0
723	0.134	4.264	1.454811765	0
724	0.134	4.272	1.454790196	0
725	0.134	4.28	1.454768627	0
726	0.134	4.288	1.454747059	0
727	0.134	4.296	1.45472549	0
728	0.135	4.304	1.454703922	0
729	0.135	4.312	1.454682353	0
730	0.135	4.32	1.454660784	0
731	0.135	4.329	1.454639216	0
732	0.135	4.338	1.454617647	0
733	0.136	4.347	1.454596078	0
734	0.136	4.356	1.45457451	0
735	0.136	4.365	1.454552941	0
736	0.136	4.374	1.454531373	0
737	0.136	4.383	1.454509804	0
738	0.137	4.392	1.454488235	0
739	0.137	4.401	1.454466667	0
740	0.137	4.41	1.454445098	0
741	0.137	4.418	1.454423529	0
742	0.137	4.426	1.454401961	0
743	0.138	4.434	1.454380392	0
744	0.138	4.442	1.454358824	0
745	0.138	4.45	1.454337255	0
746	0.138	4.458	1.454315686	0
747	0.138	4.466	1.454294118	0
748	0.139	4.474	1.454272549	0
749	0.139	4.482	1.45425098	0
750	0.139	4.49	1.454229412	0
751	0.139	4.499	1.454207843	0
752	0.139	4.508	1.454186275	0
753	0.14	4.517	1.454164706	0
754	0.14	4.526	1.454143137	0
755	0.14	4.535	1.454121569	0
756	0.14	4.544	1.4541	0
757	0.14	4.553	1.454083077	0
758	0.141	4.562	1.454066154	0
759	0.141	4.571	1.454049231	0
760	0.141	4.58	1.454032308	0
761	0.141	4.588	1.454015385	0
762	0.142	4.596	1.453998462	0
763	0.142	4.605	1.453981538	0
764	0.142	4.613	1.453964615	0
765	0.142	4.621	1.453947692	0
766	0.143	4.629	1.453930769	0
767	0.143	4.637	1.453913846	0
768	0.143	4.644	1.453896923	0
769	0.144	4.652	1.45388	0
770	0.144	4.66	1.453863077	0
771	0.144	4.668	1.453846154	0
772	0.145	4.676	1.453829231	0
773	0.145	4.684	1.453812308	0
774	0.145	4.692	1.453795385	0
775	0.146	4.7	1.453778462	0
776	0.146	4.708	1.453761538	0
777	0.146	4.716	1.453744615	0
778	0.146	4.724	1.453727692	0
779	0.147	4.732	1.453710769	0
780	0.147	4.74	1.453693846	0
781	0.147	4.748	1.453676923	0
782	0.148	4.756	1.45366	0
783	0.148	4.763	1.453643077	0
784	0.148	4.771	1.453626154	0
785	0.148	4.779	1.453609231	0
786	0.149	4.787	1.453592308	0
787	0.149	4.795	1.453575385	0
788	0.149	4.804	1.453558462	0
789	0.15	4.812	1.453541538	0
790	0.15	4.82	1.453524615	0
791	0.15	4.829	1.453507692	0
792	0.151	4.838	1.453490769	0
793	0.151	4.847	1.453473846	0
794	0.152	4.856	1.453456923	0
795	0.152	4.865	1.45344	0
796	0.152	4.874	1.453423077	0
797	0.153	4.883	1.453406154	0
798	0.153	4.892	1.453389231	0
799	0.154	4.901	1.453372308	0
800	0.154	4.91	1.453355385	0
801	0.154	4.918	1.453338462	0
802	0.155	4.926	1.453321538	0
803	0.155	4.935	1.453304615	0
804	0.155	4.943	1.453287692	0
805	0.156	4.951	1.453270769	0
806	0.156	4.959	1.453253846	0
807	0.156	4.967	1.453236923	0
808	0.156	4.974	1.45322	0
809	0.157	4.982	1.453203077	0
810	0.157	4.99	1.453186154	0
811	0.157	4.998	1.453169231	0
812	0.158	5.006	1.453152308	0
813	0.158	5.013	1.453135385	0
814	0.158	5.021	1.453118462	0
815	0.159	5.029	1.453101538	0
816	0.159	5.037	1.453084615	0
817	0.159	5.045	1.453067692	0
818	0.16	5.054	1.453050769	0
819	0.16	5.062	1.453033846	0
820	0.16	5.07	1.453016923	0
821	0.16	5.079	1.453	0
822	0.16	5.088	1.452984507	0
823	0.16	5.097	1.452969014	0
824	0.161	5.106	1.452953521	0
825	0.161	5.115	1.452938028	0
826	0.161	5.124	1.452922535	0
827	0.161	5.133	1.452907042	0
828	0.161	5.142	1.452891549	0
829	0.161	5.151	1.452876056	0
830	0.161	5.16	1.452860563	0
831	0.161	5.168	1.45284507	0
832	0.161	5.176	1.452829577	0
833	0.162	5.185	1.452814085	0
834	0.162	5.193	1.452798592	0
835	0.162	5.201	1.452783099	0
836	0.162	5.209	1.452767606	0
837	0.162	5.217	1.452752113	0
838	0.163	5.224	1.45273662	0
839	0.163	5.232	1.452721127	0
840	0.163	5.24	1.452705634	0
841	0.163	5.248	1.452690141	0
842	0.163	5.256	1.452674648	0
843	0.163	5.264	1.452659155	0
844	0.164	5.272	1.452643662	0
845	0.164	5.28	1.452628169	0
846	0.164	5.288	1.452612676	0
847	0.164	5.296	1.452597183	0
848	0.164	5.304	1.45258169	0
849	0.164	5.312	1.452566197	0
850	0.164	5.32	1.452550704	0
851	0.164	5.328	1.452535211	0
852	0.164	5.336	1.452519718	0
853	0.164	5.344	1.452504225	0
854	0.164	5.352	1.452488732	0
855	0.164	5.36	1.452473239	0
856	0.165	5.368	1.452457746	0
857	0.165	5.376	1.452442254	0
858	0.165	5.384	1.452426761	0
859	0.165	5.392	1.452411268	0
860	0.165	5.4	1.452395775	0
861	0.165	5.408	1.452380282	0
862	0.165	5.416	1.452364789	0
863	0.166	5.424	1.452349296	0
864	0.166	5.432	1.452333803	0
865	0.166	5.44	1.45231831	0
866	0.166	5.448	1.452302817	0
867	0.166	5.456	1.452287324	0
868	0.167	5.464	1.452271831	0
869	0.167	5.472	1.452256338	0
870	0.167	5.48	1.452240845	0
871	0.167	5.488	1.452225352	0
872	0.167	5.496	1.452209859	0
873	0.167	5.503	1.452194366	0
874	0.167	5.511	1.452178873	0
875	0.168	5.519	1.45216338	0
876	0.168	5.527	1.452147887	0
877	0.168	5.535	1.452132394	0
878	0.168	5.544	1.452116901	0
879	0.168	5.552	1.452101408	0
880	0.168	5.56	1.452085915	0
881	0.168	5.569	1.452070423	0
882	0.168	5.578	1.45205493	0
883	0.168	5.587	1.452039437	0
884	0.169	5.596	1.452023944	0
885	0.169	5.605	1.452008451	0
886	0.169	5.614	1.451992958	0
887	0.169	5.623	1.451977465	0
888	0.17	5.632	1.451961972	0
889	0.17	5.641	1.451946479	0
890	0.17	5.65	1.451930986	0
891	0.17	5.658	1.451915493	0
892	0.171	5.667	1.4519	0
893	0.171	5.675	1.451884507	0
894	0.171	5.683	1.451869014	0
895	0.172	5.691	1.451853521	0
896	0.172	5.699	1.451838028	0
897	0.173	5.707	1.451822535	0
898	0.173	5.715	1.451807042	0
899	0.174	5.722	1.451791549	0
900	0.174	5.73	1.451776056	0
901	0.175	5.737	1.451760563	0
902	0.175	5.744	1.45174507	0
903	0.176	5.752	1.451729577	0
904	0.176	5.759	1.451714085	0
905	0.177	5.766	1.451698592	0
906	0.178	5.773	1.451683099	0
907	0.178	5.78	1.451667606	0
908	0.179	5.786	1.451652113	0
909	0.179	5.793	1.45163662	0
910	0.18	5.8	1.451621127	0
911	0.181	5.807	1.451605634	0
912	0.181	5.814	1.451590141	0
913	0.182	5.82	1.451574648	0
914	0.182	5.827	1.451559155	0
915	0.183	5.834	1.451543662	0
916	0.183	5.841	1.451528169	0
917	0.184	5.848	1.451512676	0
918	0.184	5.856	1.451497183	0
919	0.185	5.863	1.45148169	0
920	0.185	5.87	1.451466197	0
921	0.186	5.878	1.451450704	0
922	0.186	5.886	1.451435211	0
923	0.187	5.894	1.451419718	0
924	0.187	5.902	1.451404225	0
925	0.188	5.91	1.451388732	0
926	0.189	5.918	1.451373239	0
927	0.189	5.926	1.451357746	0
928	0.19	5.934	1.451342254	0
929	0.19	5.942	1.451326761	0
930	0.191	5.95	1.451311268	0
931	0.192	5.957	1.451295775	0
932	0.192	5.964	1.451280282	0
933	0.193	5.971	1.451264789	0
934	0.193	5.978	1.451249296	0
935	0.194	5.985	1.451233803	0
936	0.194	5.992	1.45121831	0
937	0.195	5.999	1.451202817	0
938	0.195	6.006	1.451187324	0
939	0.196	6.013	1.451171831	0
940	0.196	6.02	1.451156338	0
941	0.197	6.028	1.451140845	0
942	0.197	6.036	1.451125352	0
943	0.198	6.044	1.451109859	0
944	0.198	6.052	1.451094366	0
945	0.199	6.06	1.451078873	0
946	0.2	6.068	1.45106338	0
947	0.2	6.076	1.451047887	0
948	0.201	6.084	1.451032394	0
949	0.201	6.092	1.451016901	0
950	0.202	6.1	1.451001408	0
951	0.203	6.107	1.450985915	0
952	0.203	6.114	1.450970423	0
953	0.204	6.121	1.45095493	0
954	0.204	6.128	1.450939437	0
955	0.205	6.135	1.450923944	0
956	0.205	6.142	1.450908451	0
957	0.206	6.149	1.450892958	0
958	0.206	6.156	1.450877465	0
959	0.207	6.163	1.450861972	0
960	0.207	6.17	1.450846479	0
961	0.208	6.178	1.450830986	0
962	0.208	6.186	1.450815493	0
963	0.208	6.194	1.4508	0
964	0.209	6.202	1.450784507	0
965	0.209	6.21	1.450769014	0
966	0.21	6.218	1.450753521	0
967	0.21	6.226	1.450738028	0
968	0.211	6.234	1.450722535	0
969	0.212	6.242	1.450707042	0
970	0.212	6.25	1.450691549	0
971	0.213	6.257	1.450676056	0
